age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,total_monthly_spend
51,222647,4.9,10,2.7,8,6,1,0,61537,69071,8,5,7,6,3,8,4,2,8,3,1,Other,Tier 1,Store,130608
69,240705,3.5,6,2.7,7,9,28,11,138800,143577,10,7,7,10,4,9,6,2,7,7,7,Female,Tier 3,Store,282377
74,180279,6.6,11,2.3,1,2,24,0,58496,109804,2,4,7,7,3,3,7,2,9,7,9,Male,Tier 2,Store,168300
55,168625,8.0,9,2.9,2,6,22,2,106690,53623,3,0,7,1,6,6,10,8,9,9,6,Male,Tier 2,Store,160313
50,199704,10.6,1,1.9,9,6,29,5,19156,84283,7,6,4,9,3,9,2,3,4,9,5,Female,Tier 2,Store,103439
41,15055,12.0,13,2.8,10,6,24,12,39889,47775,4,1,1,3,5,2,4,9,2,6,3,Male,Tier 3,Store,87664
32,103697,2.9,4,3.1,4,3,12,4,50378,132690,8,0,3,2,5,9,5,1,8,1,1,Male,Tier 1,Store,183068
77,178945,5.7,4,4.7,3,6,39,8,122205,69331,10,3,5,9,7,8,2,6,5,2,3,Female,Tier 1,Store,191536
47,116505,3.5,14,3.5,2,9,33,15,143790,6391,9,7,1,3,1,1,3,2,10,3,5,Female,Tier 2,Online,150181
72,95720,5.5,10,0.9,8,3,34,5,116005,108154,6,4,5,7,10,3,8,7,6,6,10,Female,Tier 2,Store,224159
59,212277,11.0,10,2.0,7,2,14,2,97768,19580,6,9,7,3,1,6,4,10,5,10,8,Female,Tier 2,Store,117348
68,93199,4.4,6,1.4,9,8,38,3,77466,124200,6,0,6,2,4,5,9,8,4,7,7,Female,Tier 2,Store,201666
34,171390,6.0,10,4.3,3,3,41,3,126933,56020,8,0,4,9,3,7,10,8,1,7,4,Other,Tier 1,Store,182953
22,48734,4.8,13,1.9,1,5,19,18,87916,84099,2,6,1,3,10,2,6,9,3,5,4,Female,Tier 3,Store,172015
46,228299,4.0,1,2.2,9,5,42,8,109614,23158,2,5,3,1,3,9,5,7,7,8,4,Other,Tier 3,Hybrid,132772
21,164594,9.6,10,2.4,5,2,21,14,21680,91385,10,9,7,9,7,3,8,6,7,9,1,Other,Tier 3,Store,113065
27,157728,2.9,5,3.0,5,2,24,8,15013,133721,6,0,2,3,9,9,5,8,1,8,7,Female,Tier 1,Store,148734
73,161965,5.8,3,1.0,3,6,13,11,99551,146384,7,8,3,4,1,8,10,8,1,6,3,Other,Tier 3,Store,245935
34,31493,6.2,1,2.5,8,2,18,4,8874,124261,10,4,3,3,8,5,5,10,7,8,5,Female,Tier 1,Store,133135
27,149704,5.9,6,3.7,8,6,45,16,95095,34601,6,0,3,2,4,9,8,7,4,8,2,Male,Tier 1,Store,129696
34,110872,5.4,3,2.1,1,7,21,16,90371,61013,3,6,2,9,3,7,10,10,6,3,4,Female,Tier 2,Store,151384
77,234720,9.2,4,4.9,4,4,22,13,70630,57281,10,2,3,1,5,4,9,8,7,7,5,Female,Tier 1,Store,127911
37,76779,1.8,12,1.4,6,10,0,6,99982,104205,6,1,4,7,10,8,10,6,5,5,9,Male,Tier 1,Store,204187
41,184524,6.9,9,1.8,9,4,38,18,12682,133483,10,5,3,1,9,8,9,3,2,5,3,Female,Tier 2,Store,146165
22,159338,7.0,2,3.5,2,3,29,7,56276,72874,3,9,3,2,5,4,2,4,9,4,2,Male,Tier 3,Store,129150
51,136187,6.6,1,2.5,7,1,4,5,116810,80175,1,1,6,4,2,9,1,9,4,7,2,Other,Tier 1,Store,196985
23,131603,4.3,10,2.2,10,4,29,5,40045,97724,4,5,4,3,6,5,5,5,2,3,5,Other,Tier 3,Store,137769
70,76607,8.4,6,1.0,1,3,6,5,26936,132874,4,7,1,5,5,1,1,8,3,2,6,Male,Tier 1,Store,159810
19,31940,8.3,12,1.7,10,8,12,18,38954,79916,2,5,4,10,8,4,1,6,4,5,8,Female,Tier 2,Store,118870
30,170075,4.3,1,4.9,4,5,30,18,129213,1148,6,9,5,8,2,9,7,8,7,7,6,Female,Tier 3,Online,130361
79,142880,3.6,1,2.9,10,7,6,16,93890,67820,5,2,7,5,5,1,2,5,1,8,1,Female,Tier 3,Store,161710
60,113408,3.2,14,3.2,7,3,28,1,124482,89341,1,7,7,2,8,7,9,3,4,4,6,Male,Tier 3,Store,213823
60,49815,6.5,7,1.7,3,3,24,1,108847,107780,2,2,2,8,9,8,10,10,9,5,8,Male,Tier 2,Store,216627
65,176941,6.1,2,2.8,3,6,12,11,19245,127586,6,1,7,9,8,8,2,10,1,4,2,Male,Tier 2,Store,146831
28,64297,5.3,4,2.1,4,10,47,8,78643,104494,3,2,4,1,4,10,4,2,5,4,7,Male,Tier 1,Store,183137
68,75107,10.2,4,0.9,8,4,14,4,99989,88756,7,4,2,8,6,5,1,4,10,1,2,Male,Tier 2,Store,188745
64,97793,5.1,2,1.5,3,8,29,16,101495,5657,1,7,7,4,1,3,2,3,9,6,1,Other,Tier 1,Online,107152
74,162754,6.4,6,1.8,8,3,6,17,82303,55425,7,9,4,7,1,6,1,10,4,9,4,Male,Tier 3,Store,137728
40,34622,5.6,10,5.2,10,5,4,5,12501,124321,3,0,3,7,3,2,4,8,3,1,10,Other,Tier 2,Store,136822
72,45408,9.9,14,4.9,9,1,13,17,19623,3130,6,5,3,10,1,9,4,4,1,10,3,Other,Tier 3,Online,22753
33,154909,2.0,2,0.3,8,1,29,18,10491,15837,1,8,5,8,8,2,7,4,2,7,8,Other,Tier 1,Store,26328
48,210282,5.4,12,1.4,8,8,22,19,33415,89582,1,7,1,6,10,8,3,2,3,2,8,Other,Tier 1,Store,122997
28,161479,7.2,8,2.3,9,7,15,15,49936,107071,1,1,7,4,7,1,8,5,7,10,2,Male,Tier 3,Store,157007
71,175381,5.6,4,2.5,4,1,23,12,37126,33290,6,7,4,8,2,7,3,6,3,5,3,Other,Tier 2,Store,70416
33,217990,3.4,1,2.3,3,6,42,16,95655,10203,2,5,5,9,2,1,7,5,5,2,4,Other,Tier 2,Hybrid,105858
25,108190,6.4,7,4.9,8,2,20,9,46493,146531,10,4,4,10,5,5,9,7,9,2,5,Other,Tier 1,Store,193024
21,164967,2.8,6,1.9,1,1,42,14,30412,32633,8,1,2,1,8,5,7,3,9,3,6,Male,Tier 2,Store,63045
57,245159,7.3,12,4.9,10,10,29,17,130182,21726,9,1,5,3,6,10,2,2,1,7,4,Female,Tier 1,Online,151908
21,232984,5.2,14,3.8,1,5,11,6,126842,141037,6,5,1,5,8,8,9,6,3,5,8,Female,Tier 2,Store,267879
73,15370,4.8,6,2.4,4,5,44,5,58363,78353,9,1,6,9,10,1,5,1,4,2,1,Other,Tier 3,Store,136716
42,129212,8.1,11,1.7,10,2,39,15,72390,103433,7,0,7,8,6,8,10,4,8,5,3,Female,Tier 3,Store,175823
20,15486,4.0,3,1.6,3,5,29,7,54818,50799,10,4,4,7,2,1,5,2,8,5,3,Other,Tier 3,Store,105617
49,38762,2.9,10,5.0,10,7,37,2,62261,14262,3,6,2,6,1,4,7,8,1,1,4,Other,Tier 2,Online,76523
20,41613,4.2,7,3.4,2,4,21,14,38783,109595,9,4,2,8,1,5,5,4,1,9,7,Male,Tier 2,Store,148378
44,18196,10.1,6,2.9,9,2,1,15,85540,85591,7,2,6,1,6,5,3,6,3,10,3,Female,Tier 3,Store,171131
46,241009,4.0,10,0.0,5,5,22,12,5940,40404,5,1,5,2,9,6,1,6,3,9,8,Female,Tier 2,Store,46344
49,115565,6.7,10,1.9,3,6,41,7,12864,145497,7,2,3,8,10,5,8,3,6,7,9,Other,Tier 2,Store,158361
67,91349,7.7,9,2.0,9,8,22,4,67694,89952,3,5,5,6,1,9,8,3,4,7,9,Female,Tier 1,Store,157646
78,79839,4.1,3,2.8,8,9,21,10,81060,129311,1,7,5,7,6,4,4,10,5,3,8,Male,Tier 3,Store,210371
75,187988,4.1,3,2.3,4,10,29,8,1317,50340,3,5,2,5,7,2,2,3,2,7,9,Male,Tier 3,Store,51657
68,23572,6.4,4,2.0,10,8,26,8,125957,81200,8,8,1,7,4,4,5,6,5,8,5,Female,Tier 1,Store,207157
36,174297,6.5,3,2.9,5,7,33,11,98813,98622,4,8,5,9,7,3,4,10,9,10,10,Male,Tier 3,Store,197435
38,60853,8.7,4,3.7,5,9,10,6,135624,147625,6,2,7,5,6,8,10,9,6,9,6,Female,Tier 3,Store,283249
22,195462,4.5,6,1.7,8,9,28,2,5173,117971,10,6,7,7,10,2,1,9,2,6,10,Other,Tier 1,Store,123144
35,178347,5.2,1,1.2,7,6,36,3,76284,120326,5,7,3,4,6,9,7,6,4,2,10,Female,Tier 2,Store,196610
45,87379,11.7,2,1.8,3,3,5,14,43122,133896,6,2,6,5,3,4,8,5,10,7,8,Male,Tier 1,Store,177018
59,147177,2.4,10,1.3,6,8,15,5,77849,46598,1,4,2,10,3,6,1,4,8,8,10,Female,Tier 1,Store,124447
78,131074,2.0,6,2.2,6,3,19,0,61562,34959,2,2,3,5,2,8,10,8,1,7,8,Male,Tier 2,Store,96521
39,205968,3.2,12,5.1,2,1,9,1,41206,50509,9,6,2,5,9,8,9,7,5,8,10,Other,Tier 1,Store,91715
38,58209,8.2,13,2.1,1,4,45,19,26765,31874,3,4,6,3,2,5,10,3,2,10,7,Female,Tier 2,Store,58639
23,243247,5.1,6,1.1,7,9,37,18,15226,105208,2,0,2,5,4,8,10,9,8,10,1,Other,Tier 2,Store,120434
18,188559,5.1,12,1.9,3,8,36,7,124443,25599,5,0,5,6,8,10,7,3,4,1,3,Other,Tier 2,Online,150042
22,164123,4.1,14,4.5,5,6,9,12,106572,12256,10,8,2,7,4,7,10,9,2,10,8,Female,Tier 3,Store,118828
58,109244,7.8,1,2.1,8,3,43,6,124760,145134,5,4,7,4,10,3,10,1,5,10,9,Female,Tier 3,Store,269894
29,247067,3.3,6,1.4,5,3,24,1,101462,130852,6,9,7,3,6,10,1,3,7,6,10,Female,Tier 1,Store,232314
43,223472,4.8,14,0.2,5,7,21,11,86177,70980,3,1,1,8,7,7,9,9,2,3,4,Other,Tier 2,Store,157157
63,115300,4.1,11,2.1,5,5,31,3,113257,74339,5,3,3,5,4,10,10,9,1,10,1,Male,Tier 2,Store,187596
51,213033,1.0,12,0.6,7,3,16,9,124057,64955,5,4,6,7,9,2,5,8,6,3,9,Female,Tier 3,Store,189012
66,206228,5.0,9,2.8,2,1,25,5,107877,138139,8,8,4,8,2,10,4,2,1,3,9,Other,Tier 1,Store,246016
31,129682,5.9,8,2.0,1,9,15,1,25552,74121,5,1,2,9,7,5,10,9,9,7,9,Female,Tier 2,Store,99673
43,72175,4.4,10,0.0,4,5,9,5,119208,143443,1,3,5,6,6,4,1,9,4,2,6,Other,Tier 2,Store,262651
62,152921,5.5,5,4.7,5,7,16,10,129353,141807,1,7,4,10,6,8,2,10,5,2,2,Male,Tier 3,Store,271160
44,116551,5.5,13,5.3,7,10,1,19,68317,11353,1,2,1,10,3,6,8,2,5,1,10,Other,Tier 2,Online,79670
26,33976,5.7,4,2.8,1,9,1,10,111160,87072,9,1,6,7,9,9,10,9,1,4,4,Female,Tier 1,Store,198232
43,145617,3.9,6,4.5,9,4,28,8,43675,105834,7,2,3,8,2,4,1,5,5,2,8,Male,Tier 2,Store,149509
74,114794,3.8,11,2.8,10,5,45,1,133859,143574,3,6,1,6,8,5,6,7,10,1,8,Female,Tier 3,Store,277433
64,71866,6.1,14,0.0,4,3,3,8,36062,66494,10,8,7,6,5,2,4,4,4,8,2,Female,Tier 1,Store,102556
74,132752,3.0,12,2.2,6,7,29,15,127421,44244,2,4,5,2,5,6,5,10,7,6,9,Male,Tier 2,Store,171665
39,62078,5.6,5,1.7,1,1,11,14,41140,11968,2,9,4,10,3,5,9,4,1,1,4,Female,Tier 3,Store,53108
64,46113,9.3,13,0.6,9,8,33,5,125924,25272,6,1,6,5,3,4,4,10,7,1,5,Male,Tier 3,Hybrid,151196
73,30401,5.9,6,2.5,4,3,13,15,8535,60584,6,6,1,3,7,1,1,10,6,4,1,Male,Tier 2,Store,69119
47,158956,2.3,14,1.5,5,4,23,10,133443,55255,6,2,2,2,2,5,3,3,10,7,5,Other,Tier 2,Store,188698
60,230432,6.4,14,2.7,8,10,23,12,119352,143393,2,6,4,5,2,4,4,6,7,10,4,Male,Tier 1,Store,262745
65,183635,7.6,10,3.5,6,4,17,13,141865,48012,7,5,3,6,2,3,9,9,10,3,4,Female,Tier 1,Store,189877
78,180486,4.4,11,4.7,10,7,24,8,141558,5431,10,0,5,3,9,9,7,10,6,6,5,Other,Tier 2,Online,146989
34,162214,5.4,3,2.5,3,7,24,2,20229,100936,3,9,5,7,7,7,2,1,3,8,2,Other,Tier 1,Store,121165
43,86492,4.2,7,1.0,10,4,40,6,111862,32702,1,4,7,3,1,5,4,9,7,1,3,Female,Tier 3,Store,144564
53,225536,5.1,8,1.8,8,6,24,19,19190,32227,3,0,3,3,7,5,5,7,4,6,7,Male,Tier 3,Store,51417
18,221329,4.7,5,2.0,6,8,27,19,130177,93987,6,6,5,6,8,10,8,1,10,7,3,Other,Tier 3,Store,224164
25,91693,6.9,5,5.5,2,10,29,3,40571,49368,7,5,5,9,5,9,6,2,4,9,3,Male,Tier 3,Store,89939
66,50135,9.3,12,2.4,5,4,24,4,43283,99133,10,8,3,2,7,9,10,6,4,8,7,Female,Tier 2,Store,142416
52,218304,6.1,4,3.2,3,1,23,3,123129,15742,3,3,5,6,7,10,4,6,9,1,4,Female,Tier 1,Hybrid,138871
78,42862,2.9,10,3.9,4,7,39,7,121648,26270,10,8,3,10,9,1,8,5,9,10,4,Male,Tier 1,Store,147918
69,151262,11.1,5,4.3,9,2,38,3,69096,90300,8,4,5,5,4,10,10,9,4,10,8,Male,Tier 1,Store,159396
32,85199,7.2,12,2.8,3,3,12,10,133342,146847,3,4,1,4,3,2,9,7,8,10,2,Other,Tier 3,Store,280189
64,120366,7.6,10,2.0,5,8,1,12,123656,78115,6,4,1,10,10,10,3,4,10,9,2,Male,Tier 1,Store,201771
73,19331,5.9,11,1.9,8,2,33,14,19393,113806,2,9,1,10,1,5,6,4,2,3,2,Other,Tier 1,Store,133199
39,198258,6.5,8,0.8,9,2,15,15,138029,64242,9,4,4,2,8,8,1,7,1,1,1,Female,Tier 1,Store,202271
31,59648,5.3,5,3.7,7,4,47,9,47769,27301,7,6,7,8,4,9,6,10,8,1,7,Male,Tier 3,Store,75070
43,43549,7.8,9,6.0,4,6,23,19,39359,96969,8,0,7,3,9,4,9,2,8,4,2,Male,Tier 3,Store,136328
45,227854,5.0,13,4.3,9,10,49,9,146544,74054,2,9,3,4,8,2,9,6,6,10,4,Female,Tier 2,Store,220598
40,40761,7.0,12,2.5,2,2,1,0,68784,92810,10,6,1,9,3,7,9,9,8,9,1,Male,Tier 2,Store,161594
31,18262,7.9,13,0.8,2,9,28,5,146968,134847,4,6,7,9,6,3,3,1,5,3,3,Other,Tier 1,Store,281815
41,197331,8.5,1,1.8,4,2,38,11,12881,46849,8,4,5,6,2,8,6,7,4,4,7,Other,Tier 3,Store,59730
19,87572,8.1,7,3.0,2,9,38,0,113134,64096,9,2,3,10,8,6,3,1,8,4,9,Male,Tier 1,Store,177230
62,199544,4.0,5,2.1,3,7,16,4,8790,35549,4,6,3,3,4,3,1,3,6,3,9,Female,Tier 1,Store,44339
43,102858,9.1,4,2.3,5,3,22,17,103062,12109,6,4,5,7,5,10,1,9,10,8,7,Female,Tier 3,Store,115171
31,99667,7.3,3,3.0,3,9,11,14,72861,28654,5,3,6,2,9,3,10,8,5,6,3,Female,Tier 1,Store,101515
76,19677,6.6,12,2.8,1,9,12,3,16925,120592,6,8,6,7,4,8,2,4,7,5,3,Male,Tier 3,Store,137517
73,219580,6.8,10,5.5,3,6,4,2,37415,27849,3,3,2,4,8,6,6,3,4,1,9,Female,Tier 2,Store,65264
68,145334,5.7,7,5.5,6,2,14,3,41692,63040,5,4,3,6,6,10,10,4,7,7,1,Other,Tier 3,Store,104732
24,226937,5.1,12,2.1,3,7,1,9,51169,124549,7,5,7,9,5,8,6,4,4,7,8,Male,Tier 2,Store,175718
20,248640,5.3,2,3.8,9,4,5,19,143460,43578,4,5,6,7,7,4,7,10,10,9,1,Male,Tier 2,Store,187038
64,116437,8.6,5,0.7,3,4,35,11,82880,32704,5,1,6,8,2,2,8,10,4,10,9,Female,Tier 2,Store,115584
40,196689,6.2,2,3.7,3,7,22,8,139673,78115,6,2,4,9,1,4,9,4,9,8,8,Other,Tier 2,Store,217788
63,232101,6.6,7,3.1,3,5,12,3,142887,16855,9,7,4,5,10,1,9,6,6,7,1,Other,Tier 1,Store,159742
60,164667,6.1,6,1.3,5,1,1,1,66446,19151,9,8,7,1,5,2,4,1,6,2,3,Male,Tier 2,Store,85597
64,233531,4.7,13,4.0,7,3,4,6,86248,55583,9,5,2,8,5,6,7,6,8,1,7,Female,Tier 3,Store,141831
77,75148,1.7,10,1.2,5,7,39,11,25701,3434,1,0,7,4,4,8,4,4,6,1,2,Female,Tier 3,Online,29135
62,61926,7.5,7,2.3,9,9,15,11,41256,115830,3,1,1,6,9,8,7,1,3,5,4,Male,Tier 2,Store,157086
35,90271,7.3,12,2.7,6,9,38,17,138650,87024,2,2,6,7,5,5,8,10,6,10,10,Male,Tier 1,Store,225674
75,49457,6.0,9,0.3,1,7,34,0,2968,149097,6,1,1,5,2,5,8,5,10,3,9,Other,Tier 2,Store,152065
55,57531,3.8,13,2.7,9,5,40,6,84396,74383,9,4,3,9,2,7,5,10,1,4,10,Female,Tier 1,Store,158779
52,219335,9.6,2,1.3,3,4,44,18,73157,98080,2,9,5,1,2,5,10,6,5,7,2,Female,Tier 3,Store,171237
68,219372,5.3,9,2.0,8,9,33,12,27703,139166,7,5,3,8,9,1,4,7,6,10,7,Female,Tier 1,Store,166869
32,143027,6.5,7,2.4,3,6,18,19,144227,75668,1,3,2,7,7,10,10,3,4,6,9,Male,Tier 3,Store,219895
42,209243,4.6,2,0.3,8,10,42,4,24529,105600,10,9,1,3,9,8,5,1,5,8,10,Male,Tier 2,Store,130129
72,60771,3.3,10,1.8,4,2,25,18,42905,56604,10,0,4,1,10,8,2,2,2,1,5,Other,Tier 2,Store,99509
54,108135,7.2,2,2.3,1,3,41,6,139332,12526,10,9,3,1,3,3,2,6,6,9,2,Male,Tier 3,Hybrid,151858
45,81354,3.0,4,2.0,6,7,42,19,105068,138976,4,6,2,1,2,5,10,8,5,7,3,Female,Tier 1,Store,244044
27,127743,6.5,2,1.3,7,4,16,14,53155,142039,1,7,6,9,9,3,3,4,6,10,8,Other,Tier 1,Store,195194
56,183361,6.5,1,0.7,8,7,48,16,8812,143067,1,3,6,4,1,9,1,1,8,2,8,Male,Tier 1,Store,151879
74,48892,3.8,6,1.2,6,5,34,1,52908,88571,10,8,3,5,3,8,4,9,10,4,8,Female,Tier 2,Store,141479
34,217268,3.4,10,0.0,1,1,11,6,44521,140063,7,3,1,6,8,10,9,7,1,2,1,Female,Tier 2,Store,184584
56,144662,4.5,14,1.4,5,10,34,10,137162,53150,10,2,5,1,6,4,10,4,8,9,3,Other,Tier 1,Store,190312
39,110057,4.7,11,4.1,9,3,36,17,17150,121180,5,0,6,8,1,6,10,2,5,9,4,Other,Tier 3,Store,138330
43,53409,2.9,5,0.5,3,9,5,19,65375,27460,8,1,4,1,2,10,5,2,4,9,5,Male,Tier 3,Store,92835
79,180542,3.7,12,3.7,5,4,9,1,116210,60023,2,1,7,10,9,8,10,10,6,5,3,Other,Tier 3,Store,176233
61,164457,6.2,3,0.8,6,5,42,6,10024,131565,6,1,2,6,7,4,5,9,5,10,9,Male,Tier 1,Store,141589
42,169368,10.0,11,3.2,5,2,22,14,106477,88132,9,7,1,4,2,3,10,2,9,6,4,Other,Tier 3,Store,194609
34,133566,8.0,1,5.9,4,10,18,18,118710,70476,3,1,7,2,4,4,4,5,1,6,9,Female,Tier 1,Store,189186
30,76716,6.3,9,3.3,2,8,42,1,13662,99448,6,0,6,6,6,5,7,6,1,10,7,Male,Tier 1,Store,113110
37,104152,8.3,8,2.3,5,1,7,1,102618,86119,9,4,4,2,5,7,8,3,10,2,4,Male,Tier 1,Store,188737
42,41382,8.3,6,2.3,10,4,8,1,25337,25412,3,5,6,8,1,3,5,10,6,3,1,Female,Tier 1,Store,50749
21,91675,5.4,6,3.7,1,6,2,10,92623,118317,5,9,7,6,7,3,7,9,8,9,8,Female,Tier 3,Store,210940
27,243668,6.5,12,3.0,1,8,32,5,48461,72121,6,2,1,6,1,2,7,7,5,1,10,Female,Tier 1,Store,120582
20,37419,8.0,4,2.8,8,4,1,13,134265,28378,1,5,1,2,7,1,3,6,8,8,4,Male,Tier 3,Store,162643
58,239393,8.2,13,1.9,4,2,33,9,109716,141546,8,4,3,9,3,3,6,4,4,3,9,Female,Tier 3,Store,251262
62,96238,8.2,2,2.9,1,4,34,0,109659,141814,10,5,7,5,4,4,4,8,7,4,8,Female,Tier 1,Store,251473
35,240825,3.9,12,0.2,2,1,17,18,33670,107781,3,2,4,7,6,10,4,8,5,1,10,Other,Tier 3,Store,141451
64,185363,8.4,4,1.7,5,8,26,10,18853,36642,10,3,5,3,8,5,7,6,2,1,9,Female,Tier 1,Store,55495
53,27397,9.7,14,4.8,7,9,48,12,26598,124034,8,2,1,9,8,10,9,9,1,5,3,Male,Tier 1,Store,150632
64,72888,9.0,2,3.6,5,3,43,11,74141,56664,1,8,7,4,2,4,9,8,2,10,2,Male,Tier 3,Store,130805
39,50169,3.8,13,2.3,10,8,26,4,93475,104497,4,1,7,9,2,1,6,9,4,5,2,Male,Tier 1,Store,197972
51,77182,3.3,7,1.1,6,9,37,18,82214,144394,4,4,7,1,2,4,2,8,1,3,9,Male,Tier 1,Store,226608
64,107476,6.9,9,5.1,7,8,38,7,18523,97033,8,4,7,9,10,4,5,3,2,9,8,Other,Tier 1,Store,115556
25,57249,8.9,13,1.7,3,2,16,11,35253,25355,4,4,7,2,7,1,4,2,2,9,2,Female,Tier 3,Store,60608
57,174413,6.5,2,1.3,10,2,8,4,121760,18062,4,0,5,10,2,9,2,9,5,2,8,Male,Tier 1,Store,139822
66,90603,5.5,9,2.7,5,10,31,11,113039,46596,7,6,6,2,1,3,10,6,6,7,10,Other,Tier 3,Store,159635
61,192216,5.8,9,1.8,8,4,22,10,33069,10378,10,8,5,9,5,7,10,5,1,9,9,Male,Tier 3,Online,43447
36,207844,8.0,8,0.0,6,1,43,4,131314,39796,8,8,1,2,10,1,8,4,9,6,3,Other,Tier 1,Store,171110
59,94360,5.4,1,0.6,2,3,13,7,23193,123186,6,1,7,7,10,1,7,7,5,1,9,Female,Tier 2,Store,146379
58,28444,7.0,5,2.2,9,4,10,15,1679,98133,4,2,3,8,5,1,10,3,1,7,2,Other,Tier 2,Store,99812
54,191719,5.7,14,1.0,2,2,3,19,27648,16224,7,8,2,1,9,6,6,9,9,1,5,Female,Tier 1,Store,43872
23,138662,4.2,10,0.5,6,7,37,2,49132,38497,9,6,7,6,9,7,3,2,8,3,6,Other,Tier 1,Store,87629
69,113843,4.1,13,0.6,2,10,47,5,58080,38187,2,4,2,5,9,7,10,3,10,7,9,Other,Tier 1,Store,96267
43,25974,7.1,13,2.3,10,3,15,4,121586,44471,3,0,1,7,3,5,1,3,8,5,10,Other,Tier 2,Store,166057
51,127150,1.0,11,2.3,7,7,35,9,91506,27166,1,2,6,10,4,9,8,3,5,8,3,Female,Tier 2,Hybrid,118672
76,184455,7.0,4,3.6,1,7,24,11,5282,9351,7,1,3,5,8,8,8,3,8,9,7,Other,Tier 3,Online,14633
73,109826,5.7,7,0.9,4,9,4,14,40710,105673,6,3,2,4,7,8,7,9,1,1,6,Female,Tier 1,Store,146383
76,227624,7.9,13,2.3,8,4,9,2,94302,141567,10,8,1,2,1,4,5,6,8,10,10,Male,Tier 2,Store,235869
62,112648,7.2,11,1.6,9,4,4,19,1434,124256,8,5,4,10,4,3,3,5,10,7,1,Other,Tier 2,Store,125690
23,240121,6.1,14,3.2,10,1,40,3,50034,149206,2,8,1,1,3,3,7,6,2,3,3,Female,Tier 1,Store,199240
54,149028,3.9,8,2.5,3,6,17,6,127826,124109,5,1,1,3,5,1,7,1,4,3,5,Other,Tier 2,Store,251935
74,154149,4.0,14,2.9,9,6,22,0,85286,49072,1,1,5,7,10,9,2,5,4,6,8,Female,Tier 2,Store,134358
50,51490,4.7,10,4.1,8,7,37,7,58036,110279,10,1,7,6,3,4,9,1,7,9,8,Male,Tier 3,Store,168315
70,139713,7.7,11,2.8,4,9,13,16,144073,106738,9,3,5,7,4,4,2,3,4,8,7,Male,Tier 2,Store,250811
39,249463,9.5,13,3.9,1,10,22,19,60131,132208,2,9,3,8,6,10,10,8,6,8,5,Female,Tier 1,Store,192339
38,70612,6.7,8,0.8,10,10,47,10,90549,30411,7,2,2,8,7,7,6,6,1,10,4,Female,Tier 3,Online,120960
23,115474,4.8,2,0.6,5,10,34,6,87901,95115,7,9,3,10,9,6,3,10,1,9,8,Female,Tier 1,Store,183016
23,51159,5.0,3,4.2,7,9,32,10,90321,89297,4,5,5,4,7,6,1,5,1,3,1,Other,Tier 1,Store,179618
72,54710,5.1,13,2.9,5,5,37,10,110468,62136,6,7,7,4,2,1,3,6,9,5,3,Male,Tier 3,Store,172604
65,229608,8.1,10,3.3,5,2,0,14,42647,131451,2,3,1,1,1,7,1,5,2,6,9,Female,Tier 3,Store,174098
21,159878,5.1,10,4.0,5,1,5,5,67751,9282,2,5,7,5,9,3,1,1,10,9,7,Male,Tier 1,Online,77033
47,128096,5.9,7,1.5,3,2,20,18,2305,56224,9,6,5,1,2,3,7,2,10,2,4,Male,Tier 2,Store,58529
28,224417,8.7,4,1.7,6,2,26,12,101391,148904,1,2,1,6,7,3,2,3,10,7,2,Other,Tier 3,Store,250295
79,226463,4.9,6,3.6,4,1,4,15,100729,142570,6,8,7,4,4,5,4,5,7,1,1,Other,Tier 3,Store,243299
79,122412,7.1,8,2.1,10,8,26,11,129916,6919,1,3,3,8,4,4,1,5,3,4,4,Female,Tier 2,Online,136835
47,109924,7.8,8,1.8,2,3,43,18,7483,67906,6,7,7,5,4,5,4,10,9,10,6,Male,Tier 1,Store,75389
48,21458,6.1,7,0.8,4,10,5,18,28194,121033,4,2,3,7,4,7,5,9,5,7,1,Female,Tier 2,Store,149227
41,145993,9.9,13,3.7,6,10,39,6,126185,106195,5,2,3,6,9,8,5,8,5,2,8,Male,Tier 3,Store,232380
72,50524,9.3,12,1.8,6,8,24,17,15770,101433,4,7,3,6,9,5,1,5,7,10,2,Male,Tier 3,Store,117203
26,152925,6.5,2,3.6,9,6,4,13,17342,53081,5,8,3,10,10,10,8,4,8,8,2,Male,Tier 1,Store,70423
72,55477,4.4,2,3.1,8,1,14,13,46162,147298,3,2,1,8,5,5,3,6,3,4,4,Female,Tier 1,Store,193460
20,47222,4.5,3,4.3,5,7,45,15,121407,30100,6,3,6,2,6,10,9,4,1,5,8,Other,Tier 3,Store,151507
68,33320,6.4,4,0.3,10,3,47,17,79528,77744,1,8,6,7,6,7,10,2,1,10,3,Other,Tier 1,Store,157272
48,109154,3.8,1,0.0,3,9,37,8,69177,19582,2,4,1,5,2,10,6,10,9,6,3,Male,Tier 1,Hybrid,88759
57,67243,6.5,5,4.8,4,9,16,3,129573,48694,6,0,7,3,9,2,3,2,7,1,10,Female,Tier 2,Store,178267
